question,label,response,api_endpoint
"Which TagNames are present in the TagGroups of TwinTalk?",GetGroupNamesReq1,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Can you show me the available TagGroups in TwinTalk?",GetGroupNamesReq2,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"I need a list of TagGroups available in TwinTalk. Can you help?",GetGroupNamesReq3,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"What are the available TagGroups in TwinTalk?",GetGroupNamesReq4,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Please provide me with the list of TagGroups in TwinTalk.",GetGroupNamesReq5,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Could you tell me the TagGroups that are available in TwinTalk?",GetGroupNamesReq6,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"List all the TagGroups that are present in TwinTalk.",GetGroupNamesReq7,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"What TagGroups are currently available in TwinTalk?",GetGroupNamesReq8,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Show me the TagGroups that TwinTalk has.",GetGroupNamesReq9,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"I would like to see the list of TagGroups from TwinTalk.",GetGroupNamesReq10,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Can you give me the list of available TagGroups in TwinTalk?",GetGroupNamesReq11,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Can you provide me with a complete list of TagGroups in TwinTalk?",GetGroupNamesReq12,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"I’m looking for the TagGroups available in TwinTalk. Can you show me?",GetGroupNamesReq13,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"I need to find out what TagGroups are available in TwinTalk. Can you help?",GetGroupNamesReq14,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Please list all the TagGroups that are accessible in TwinTalk.",GetGroupNamesReq15,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"I’d like to know the TagGroups available in TwinTalk. Could you provide that information?",GetGroupNamesReq16,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Which TagGroups are currently available in TwinTalk?",GetGroupNamesReq17,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Can you tell me what TagGroups are available for use in TwinTalk?",GetGroupNamesReq18,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Give me the names of the TagGroups available in TwinTalk, please.",GetGroupNamesReq19,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
"Can you help me with a list of TagGroups from TwinTalk?",GetGroupNamesReq20,"{'msgMethod': 'GetGroupNamesReq'}",http://54.164.152.95:8080
